time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.31309309191e-06,2.8605210873e-06,10.0048456555,0.00082792972873,0.00146919055665,0.0,-0.000326876903553,0.000177526273488,0.161511910392,0.00883954804158,0.0121320662085,0.0,455.3374362075752,456.30671926134477,455.82403035175565,456.5297048627466
0.12000000000000001,-8.54459321371e-05,3.79423814185e-05,10.0176061053,0.00292262262041,0.00976497281843,0.0,-0.0031637034319,0.00119339442209,0.263813934677,0.0213930166978,0.0410912806512,0.0,436.6101237151723,439.01923606247465,437.00408522724547,438.04895346090484
0.18,-0.000561522817521,0.000205475412927,10.0389313849,0.00910597220989,0.0231882936501,0.0,-0.0142825131239,0.00512672609134,0.446947912342,-0.00408481370553,0.0036091797141,0.0,464.27857094796235,461.32919469247446,463.50095113180276,461.49455388312816
0.23999999999999996,-0.00197479494914,0.000731521866666,10.0714617245,0.0106181622299,0.0267841184047,0.0,-0.0332175479525,0.012566285635,0.63729816966,0.00928622169305,0.0225822578555,0.0,464.1480922078653,465.6344039395529,464.58689393892104,465.63392413815325
0.3,-0.0044924283955,0.00170375450846,10.111107566,0.0147437991051,0.0303912192555,0.0,-0.0510591876062,0.0202500404458,0.684187293901,-0.0126418690062,0.00489888609003,0.0,421.10144598642376,419.5691622369369,421.097127491134,419.19620834582565
0.36000000000000004,-0.0081914341336,0.00322892511354,10.1552773594,0.0159665487758,0.0314968393976,0.0,-0.0723436599107,0.0306986797558,0.788067283116,0.00162396106528,0.0136408547647,0.0,438.21520596289133,438.94107323301535,438.34503999021507,439.528873740316
0.4200000000000001,-0.0132248782544,0.00543378640545,10.206515871,0.0207888225007,0.0341535849462,0.0,-0.0957356963776,0.0432851873922,0.919766560052,0.0242655365677,-0.00245997810104,0.0,448.6909146706858,447.3819436785727,446.341841670596,448.18552558298455
0.48000000000000015,-0.0196179776138,0.00845081001722,10.2630411134,0.0282891490218,0.0339953704695,0.0,-0.117353557099,0.0579608528167,0.964354902326,0.0500240024015,-0.00406734220066,0.0,420.4171778826125,420.2779622829485,418.55156443408003,420.78763325785263
0.5400000000000001,-0.0273870632443,0.0125416522222,10.3242601176,0.0328180302169,0.0375368834025,0.0,-0.141959731179,0.078882337076,1.07615091892,0.0352320837003,0.016079982298,0.0,441.0839527701594,442.74445155211725,442.3376037555707,441.1191558786875
0.6000000000000002,-0.036657615815,0.0179406933275,10.3910260249,0.03694921901,0.0394425672174,0.0,-0.167234388652,0.101473588666,1.14928583608,0.0496367463375,0.0255732019256,0.0,428.77094435894213,429.5765832501666,429.7463366636472,430.9663532303118
0.6600000000000003,-0.0475758065197,0.0248615512504,10.4645043013,0.039980684588,0.0413878418343,0.0,-0.196906525916,0.129551024371,1.29980614269,0.0456379160463,0.0314967166255,0.0,454.28670331084106,454.76154976810966,454.2999606543181,453.98062425752533
0.7200000000000003,-0.0602991193427,0.0335156937178,10.5462603458,0.0464073675324,0.0461107478933,0.0,-0.227719247881,0.159571367127,1.42519169579,0.0655101027647,0.0118192588645,0.0,447.6113212024681,446.0073752559814,446.36344395051213,447.98385755827957
0.7800000000000004,-0.0751886658812,0.0443225871446,10.6401488135,0.0511785425529,0.0504327836697,0.0,-0.269166491525,0.201265615522,1.70398394891,0.0541949454111,-0.0102370037629,0.0,493.83180628358133,492.2022743038138,493.2099054595412,492.37591657086125
0.8400000000000004,-0.0923912591899,0.057477088101,10.7455502193,0.0544217459902,0.0500298851158,0.0,-0.304212239699,0.237543117492,1.80921250362,0.0523453706563,-0.0166137579546,0.0,442.9089770590037,442.38436935245034,441.5085361311928,441.35783781391274
0.9000000000000005,-0.111779278636,0.0729604431053,10.8587682693,0.0580291730668,0.0537445898066,0.0,-0.34242852838,0.278958582236,1.964415346,0.043565829775,0.00599431034987,0.0,457.78484145735473,459.5802474613392,457.55850352395134,456.8605214226019
0.9600000000000005,-0.133756680399,0.0912493917711,10.9854255299,0.0614222520296,0.054660464606,0.0,-0.390235429213,0.331070245181,2.25691602436,0.0521090949822,0.0130518063648,0.0,498.7681525366238,499.2831626608839,497.9590442754218,498.5845960781267
1.0200000000000005,-0.158323815369,0.112407425067,11.1239743382,0.0659335669129,0.0570593399636,0.0,-0.42892177733,0.374631387286,2.36111030964,0.0638553160247,-0.00212429905743,0.0,444.1979251191498,442.95159513451193,444.0527298100906,445.0173640592175
1.0800000000000005,-0.185341150764,0.136389741386,11.2702209015,0.0755428796586,0.0585321357809,0.0,-0.471787960152,0.42578069869,2.51335231573,0.0890139391123,0.0105851186673,0.0,459.1639253840794,460.17102704130724,458.37090213190066,460.36974163484547
1.1400000000000006,-0.215006374408,0.163676927226,11.4260800519,0.0809961360893,0.0632585543588,0.0,-0.517539254885,0.484372388431,2.68146878049,0.0839492350916,0.0315751011518,0.0,463.8848689523047,465.53010750395475,465.9218673145145,465.5316788936549
1.2000000000000006,-0.247183178253,0.194178485975,11.5868012219,0.0880964461261,0.0657572502772,0.0,-0.555234819875,0.532941870313,2.67583135698,0.0985297994219,0.0389739514403,0.0,410.4183274819766,411.07507660573816,409.97364811141347,411.2744094367615
1.2600000000000007,-0.281708856616,0.227720580317,11.7472412435,0.0940108919245,0.0802808597115,0.0,-0.596850898645,0.585625550604,2.67201032431,0.098655989527,0.0760314819009,0.0,411.0604212066265,414.33336079176485,410.3639494854219,410.38438072309367
